1,2019/3/17,9,19,79,229
2,2019/3/17,9,20,29,110
3,2019/3/17,9,21,50,259
4,2019/3/17,9,22,-1,29
5,2019/3/17,9,23,-1,110
6,2019/3/17,9,24,30,80
7,2019/3/17,9,25,19,99
8,2019/3/17,9,7,40,100
9,2019/3/17,9,8,30,110
10,2019/3/17,9,9,-1,79
11,2019/3/17,9,10,60,109
12,2019/3/17,9,11,29,100
13,2019/3/17,9,12,9,209
14,2019/3/17,9,13,20,90
15,2019/3/17,9,14,30,70
16,2019/3/17,9,13,40,120
17,2019/3/17,9,14,-1,40
18,2019/3/17,9,15,39,449
19,2019/3/17,9,16,10,110
20,2019/3/17,9,17,10,80
21,2019/3/17,9,18,19,179
22,2019/3/17,10,19,70,220
23,2019/3/17,10,20,29,89
24,2019/3/17,10,21,30,119
25,2019/3/17,10,22,30,50
26,2019/3/17,10,23,20,130
27,2019/3/17,10,24,29,79
28,2019/3/17,10,25,10,70
29,2019/3/17,10,17,20,110
30,2019/3/17,10,18,10,129
31,2019/3/17,10,19,70,229
32,2019/3/17,10,20,20,70
33,2019/3/17,10,21,19,179
34,2019/3/17,10,22,20,39
35,2019/3/17,10,23,40,120
36,2019/3/17,10,24,19,60
37,2019/3/17,10,25,19,99
38,2019/3/17,10,20,40,99
39,2019/3/17,10,21,29,130
40,2019/3/17,10,22,19,59
41,2019/3/17,10,23,30,99
42,2019/3/17,10,24,20,70
43,2019/3/17,10,25,9,79
44,2019/3/17,10,16,40,90
45,2019/3/17,10,17,19,160
46,2019/3/17,10,18,39,189
47,2019/3/17,10,19,60,239
48,2019/3/17,10,20,49,139
49,2019/3/17,10,21,50,210
50,2019/3/17,10,22,19,49
51,2019/3/17,10,23,30,100
52,2019/3/17,10,24,30,109
53,2019/3/17,10,25,20,99
54,2019/3/17,10,10,39,169
55,2019/3/17,10,14,10,69
56,2019/3/17,10,15,10,229
57,2019/3/17,10,16,10,79
58,2019/3/17,10,17,20,90
59,2019/3/17,10,18,-1,190
60,2019/3/17,10,19,49,189
61,2019/3/17,10,20,30,110
62,2019/3/17,10,21,39,159
63,2019/3/17,10,22,20,50
64,2019/3/17,10,23,29,139
65,2019/3/17,11,24,9,39
66,2019/3/17,11,25,30,70
67,2019/3/17,10,2,19,59
68,2019/3/17,10,3,29,160
69,2019/3/17,10,4,29,129
70,2019/3/17,10,5,29,90
71,2019/3/17,10,6,19,109
72,2019/3/17,10,7,50,199
73,2019/3/17,10,8,30,70
74,2019/3/17,10,9,30,120
75,2019/3/17,10,10,49,159
76,2019/3/17,10,11,59,189
77,2019/3/17,10,12,-1,199
78,2019/3/17,10,13,10,79
79,2019/3/17,10,14,20,60
80,2019/3/17,10,15,19,239
81,2019/3/17,10,16,60,119
82,2019/3/17,11,17,30,110
83,2019/3/17,11,18,79,199
84,2019/3/17,11,19,60,169
85,2019/3/17,11,20,59,90
86,2019/3/17,11,21,20,220
87,2019/3/17,11,25,20,80
88,2019/3/17,10,0,-1,160
89,2019/3/17,10,1,39,99
90,2019/3/17,10,2,20,60
91,2019/3/17,10,3,20,110
92,2019/3/17,10,4,39,169
